"Enabled","Activo"

"Mercado Pago - Configuration", "Mercado Pago - Configuración"
"Credit Card - Mercado Pago","Tarjetas de crédito - Mercado Pago"

"Mercado Pago Custom - Credit Card","Mercado Pago Custom - Tarjeta de Crédito"
"Payment Title","Título"
"Category of your store","Categoria de la tienda"
"Choose the status of approved orders","Elija el estado de los pedidos para pagos Aprobados"
"Choose the status of refunded orders","Elija el estado de los pedidos para pagos Devueltos"
"Choose the status when payment is pending","Elija el estado de los pedidos para pagos Pendientes"
"Choose the status when client open a mediation","Elija el estado de los pedidos para pagos en Disputa"
"Choose the status when payment was reject","Elija el estado de los pedidos para pagos Rechazados"
"Choose the status when payment was canceled","Elija el estado de los pedidos para pagos Cancelados"
"Checkout Position","Posición en el Checkout"
"To manage the status available go to System > Order Statuses","Para gerenciar los estados disponibles vaya a 'System > Order Statuses'"

"Mercado Pago Custom - Ticket","Mercado Pago Custom - Tickets de pago"

"Mercado Pago Standard - Credit Card, Ticket and Account Money","Mercado Pago Standard - Tarjetas, Tickets y Dinero en Cuenta"
"Country","País"
"Type Checkout","Tipo de Checkout"
"Auto Redirect","Auto-Redireccionar"
"Exclude Payment Methods","Excluir Medios de Pago"
"Maximum number of accepted installments","Numero maximo de cuotas"
"Width Checkout Iframe","Ancho de la zona del Checkout (Iframe)"
"Height Checkout Iframe","Alto de la zona del Checkout (Iframe)"
"Auto-redirect the buyer when finishing the payment.","Auto-Redireccionar al comprador al finalizar el pago."
"Select payment methods not accepted","Seleccione los medios de pago no aceptados"
"For the operation of the Checkout Custom Ticket is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'","Para el funcionamento del Checkout Custom - Tickets de pago, es necesario configurar las Credenciales 'CLIENT_ID' y 'CLIENT_SECRET' en 'Mercado Pago - Configuración'"
"For the operation of the Checkout Standard is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'","Para el funcionamento del Checkout Standard, es necesario configurar las Credenciales 'CLIENT_ID' y 'CLIENT_SECRET' en 'Mercado Pago - Configuración'"

"Card Number","Número de Tarjeta"
"Month","Mes"
"Year","Año"
"Card Holder Name","Titular de la Tarjeta"
"Document Number","Número de Documento"
"CVV","Código de Seguridad"
"Installments","Cuotas"
"Banks","Bancos"

"Enter the card number","Digite el número de tarjeta"
"Validating Data","Validando datos"
"An error has occurred. Please refresh the page.","Ocurrio un error. Por favor, actualice la página."
"Card number is invalid.","Número de Tarjeta inválido."
"CVV is invalid.","Código de Seguridad inválido."
"Card Holder Name is invalid.","Nombre de titular de tarjeta inválido."
"Document Number is invalid.","Número de Documento inválido."
"Document Type is invalid.","Tipo de Documento inválido."
"Year is invalid.","Año inválido."
"Month is invalid.","Mes inválido."
"Please validate your data.","Por favor, valide los datos"
"Cannot pay this amount with this payment_method_id.","No se puede pagar esta monto con este medio de pago."

"Card Number: %1","Número de Tarjeta: %1"
