"Enabled", "Ativo"

"MercadoPago - Configuration", "MercadoPago - Configurações"
"Credit Card - MercadoPago", "Cartões de Credito - MercadoPago"

"MercadoPago Custom - Credit Card", "MercadoPago Transparente - Cartão de Crédito"
"Payment Title", "Titulo"
"Category of your store", "Categoria da Loja"
"Choose the status of approved orders", "Escolha o status dos pedidos para pagamentos Aprovados"
"Choose the status of refunded orders", "Escolha o status dos pedidos para pagamentos Devolvidos"
"Choose the status when payment is pending", "Escolha o status dos pedidos para pagamentos Pendentes"
"Choose the status when client open a mediation", "Escolha o status dos pedidos para pagamentos que estão em Disputa"
"Choose the status when payment was reject", "Escolha o status dos pedidos para pagamentos Rejeitados"
"Choose the status when payment was canceled", "Escolha o status dos pedidos para pagamentos Cancelados"

"Checkout Position", "Posição no Checkout"
"To manage the status available go to System > Order Statuses", "Para gerenciar os status disponíveis vá até System > Order Statuses"

"MercadoPago Custom - Ticket", "MercadoPago Transparente - Boleto"

"MercadoPago Standard - Credit Card, Ticket and Account Money", "MercadoPago Standard - Cartão, Boleto e Dinheiro em Conta"
"Country", "País"
"Type Checkout", "Tipo de Checkout"
"Auto Redirect","Auto-Redirecionar"
"Exclude Payment Methods","Excluir Meios de Pagamento"
"Maximum number of accepted installments","Numero maximo de parcelas"
"Width Checkout Iframe","Largura do Checkout Iframe (Width)"
"Height Checkout Iframe","Altura do Checkout Iframe (Height)"
"Auto-redirect the buyer when finishing the payment.","Auto-Redirecionar o comprador ao finalizar o pagamento."
"Select payment methods not accepted","Selecione os meios de pagamento não aceitos"
"For the operation of the Checkout Custom Ticket is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'MercadoPago - Configuration'","Para o funcionamento do Checkout Transparente Boleto é necessário configurar as Credenciais 'CLIENT_ID' e 'CLIENT_SECRET' em 'MercadoPago - Configurações'"
"For the operation of the Checkout Standard is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'MercadoPago - Configuration'","Para o funcionamento do Checkout Standard é necessário configurar as Credenciais 'CLIENT_ID' e 'CLIENT_SECRET' em 'MercadoPago - Configurações'"

"Card Number", "Número do cartão"
"Month", "Mês de vencimento"
"Year", "Ano de vencimento"
"Card Holder Name", "Titular do cartão"
"Document Number", "CPF"
"CVV", "Código de segurança"
"Installments", "Parcelas"
"Banks", "Bancos"

"Enter the card number", "Digite o numero do cartão"
"Validating Data", "Validando dados"
"An error has occurred. Please refresh the page.", "Ocorreu um erro. Por favor, atualize a pagina."
"Card number is invalid.", "Numero do Cartão inválido."
"CVV is invalid.", "Código de Segurança inválido."
"Card Holder Name is invalid.", "Nome do titular do cartão inválido."
"Document Number is invalid.", "CPF inválido."
"Document Type is invalid.","Tipo de Documento inválido."
"Year is invalid.", "Ano inválido."
"Month is invalid.", "Mês inválido."
"Please validate your data.", "Dados incorretos, valide os dados. Por favor."
"Cannot pay this amount with this payment_method_id.","Não é possível pagar esse valor com essa forma de pagamento."
"It was not possible to calculate the installments, click here and try again.","Não foi possível calcular as parcelas, clique aqui e tente novamente."

"Discount coupon","Cupom de Desconto"
"Run Out of uses per user.","Cupom já utilizado."
"An error occurred while validating the coupon. Try again.", "Ocorreu um erro ao validar o cupom. Tente novamente."
"The coupon can not be applied to this amount.", "O cupom não pode ser aplicado para esse valor."
"Please enter a valid coupon code.","Digite um código de cupom válido."
"Exclusive discount","Desconto exclusivo do"
"You save %s with the exclusive discount","Você economizará %s com o desconto exclusivo do"
"Total of your purchase","Total da sua compra"
"Total of your purchase discount","Total da sua compra com desconto"
"Upon approval of payment","Mediante aprovação do pagamento"
"Terms and conditions","Termos e condições"
"Apply discount","Aplicar desconto"
"Remove discount","Remover desconto"



"Thank you for your purchase!","Obrigado pela sua Compra!"
"Your order %s has been successfully generated.","O seu pedido de numero %s foi gerado com sucesso."
"Payment information","Informações sobre o pagamento"
"Card Number: %s", "Número do cartão: %s"
"Card Holder Name: %s", "Titular do cartão: %s"
"Payment Method: %s", "Método de Pagamento: %s"
"Expiration Date: %s", "Data de expiração: %s"
"Installments: %s", "Parcelas: %s"
"Statement Descriptor: %s", "Identificação na Fatura: %s"
"Payment Id (MercadoPago): %s", "Numero de Pagamento (MercadoPago): %s"
"Payment Status: %s (%s)", "Status de Pagamento: %s (%s)"

"Click on the link to generate the ticket", "Clique no link para gerar o boleto"
"Generate Ticket", "Gerar Boleto"

"Payment Method", "Método de Pagamento"

"Generate the ticket and pay it wherever you want.", "Gere o boleto e pague-o onde quiser."
"Will be approved within 2 business days.","Será aprovado até 2 dias úteis."

"Done, your payment was accredited!", "O seu pagamento foi aprovado!"
"We are processing the payment.", "Estamos processando o pagamento."
"In less than 2 business days we will tell you by e-mail if it is accredited or if we need more information.", "Em menos de 2 dias úteis você será avisado por e-mail se foi creditado ou se precisarmos de mais informações."
"In less than an hour we will send you by e-mail the result.", "Em menos de 1 hora, nós enviaremos o resultado por e-mail."

"Check the card number.", "Verifique o número do cartão."
"Check the expiration date.", "Verifique a data de validade."
"Check the data.", "Verifique os dados."
"Check the security code.", "Verifique o código de segurança."
"We could not process your payment.", "Não foi possível processar o pagamento."
"You must authorize to %s the payment of $ %s to MercadoPago.", "Você precisa autorizar com a %s o pagamento de R$ %s ao MercadoPago."
