"Enabled","Enabled"

"Mercado Pago - Configuration", "Mercado Pago - Configuration"
"Credit Card - Mercado Pago","Credit Card - Mercado Pago"

"Mercado Pago Custom - Credit Card","Mercado Pago Custom - Credit Card"
"Payment Title","Payment Title"
"Category of your store","Category of your store"
"Choose the status of approved orders","Choose the status of approved orders"
"Choose the status of refunded orders","Choose the status of refunded orders"
"Choose the status when payment is pending","Choose the status when payment is pending"
"Choose the status when client open a mediation","Choose the status when client open a mediation"
"Choose the status when payment was reject","Choose the status when payment was reject"
"Choose the status when payment was canceled","Choose the status when payment was canceled"
"Checkout Position","Checkout Position"
"To manage the status available go to System > Order Statuses","To manage the status available go to System > Order Statuses"

"Mercado Pago Custom - Ticket","Mercado Pago Custom - Ticket"

"Mercado Pago Standard - Credit Card, Ticket and Account Money","Mercado Pago Standard - Credit Card, Ticket and Account Money"
"Country","Country"
"Type Checkout","Type Checkout"
"Auto Redirect","Auto Redirect"
"Exclude Payment Methods","Exclude Payment Methods"
"Maximum number of accepted installments","Maximum number of accepted installments"
"Width Checkout Iframe","Width Checkout Iframe"
"Height Checkout Iframe","Height Checkout Iframe"
"Auto-redirect the buyer when finishing the payment.","Auto-redirect the buyer when finishing the payment."
"Select payment methods not accepted","Select payment methods not accepted"
"For the operation of the Checkout Custom Ticket is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'","For the operation of the Checkout Custom Ticket is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'"
"For the operation of the Checkout Standard is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'","For the operation of the Checkout Standard is necessary to configure the Credentials 'CLIENT_ID' and 'CLIENT_SECRET' in 'Mercado Pago - Configuration'"

"Card Number","Card Number"
"Month","Month"
"Year","Year"
"Card Holder Name","Card Holder Name"
"Document Number","Document Number"
"CVV","CVV"
"Installments","Installments"
"Banks","Banks"

"Enter the card number","Enter the card number"
"Validating Data","Validating Data"
"An error has occurred. Please refresh the page.","An error has occurred. Please refresh the page."
"Card number is invalid.","Card number is invalid."
"CVV is invalid.","CVV is invalid."
"Card Holder Name is invalid.","Card Holder Name is invalid."
"Document Number is invalid.","Document Number is invalid."
"Document Type is invalid.","Document Type is invalid."
"Year is invalid.","Year is invalid."
"Month is invalid.","Month is invalid."
"Please validate your data.","Please validate your data."
"Cannot pay this amount with this payment_method_id.","Cannot pay this amount with this payment_method_id."

"Card Number: %1","Card Number: %1"
"Card Holder Name: %1","Card Holder Name: %1"
"Payment Method: %1","Payment Method: %1"
"Expiration Date: %1","Expiration Date: %1"
"Installments: %1","Installments: %1"
"Statement Descriptor: %1","Statement Descriptor: %1"
"Payment Id (Mercado Pago): %1","Payment Id (Mercado Pago): %1"
"Payment Status: %1 (%2)","Payment Status: %1 (%2)"

"Click on the link to generate the ticket","Click on the link to generate the ticket"
"Generate Ticket","Generate Ticket"

"Payment Method","Payment Method"

"Generate the ticket and pay it wherever you want.","Generate the ticket and pay it wherever you want."
"Will be approved within 2 business days.","Will be approved within 2 business days."



"Thank you for your purchase!","Thank you for your purchase!"
"Your order %1 has been successfully generated.","Your order %1 has been successfully generated."
"Done, your payment was accredited!","Done, your payment was accredited!"
"We are processing the payment.","We are processing the payment."
"In less than 2 business days we will tell you by e-mail if it is accredited or if we need more information.","In less than 2 business days we will tell you by e-mail if it is accredited or if we need more information."
"In less than an hour we will send you by e-mail the result.","In less than an hour we will send you by e-mail the result."

"Check the card number.","Check the card number."
"Check the expiration date.","Check the expiration date."
"Check the data.","Check the data."
"Check the security code.","Check the security code."
"We could not process your payment.","We could not process your payment."

"You must authorize to %1 the payment of $ %2 to Mercado Pago.","You must authorize to %1 the payment of $ %2 to Mercado Pago."
"Call %1 to activate your card.<br/>The phone is on the back of your card.","Call %1 to activate your card.<br/>The phone is on the back of your card."
