"//<---- MercadoEnvios---->","//<---- MercadoEnvios---->"
"Mercado Envios - Global Configuration","Mercado Envios - Configuración General"
"Enable to edit specific values","Habilitar para editar valores específicos"
"Title","Titulo"
"Product attributes mapping","Mapeo de los atributos de los productos"
"Available shipping methods","Métodos de Envío Disponibles"
"Allow Specific Country","Permitir un país específico"
"Specific Country","País específico"
"Free Method","Método gratis"
"Free Shipping with Minimum Order Amount","Envío gratuito con un importe minimo en la orden"
"Minimum Order Amount for Free Shipping","Importe mínimo de la orden para realizar el envío gratuito"
"Show method if not applicable","Mostrar el método si no es aplicable"
"Displayed Error Message","Mensaje de error a mostrar"
"Log","Log"
"Debug Mode","Modo de depuración"
"Sort order","Posición"
"Shipping label download option","Opción para la descarga de las etiquetas de envío"
"Enabled","Habilitado"

"Product Attribute","Atributo de los Productos"
"Product Attribute Unit","Unidad del Atributo"
"Length","Largo"
"Width","Ancho"
"Height","Alto"
"Weight","Ancho"
